truck_strategy,break_width,num_firetruck,max_speed,wind_dir,steps_to_extinguish_1_cell,placed_on_edges,Number_of_steps_to_ExtinguishFire,Number_of_extinguished_firecell,Number_of_burned_out_cell,Number_of_cells_on_fire,Maximum_growthrate_firecell_perstep,Maximum_extinguishedrate_firecell_perstep,Count_healthy_trees,Count_unhealthy_trees,Percentage_damaged_burnedtrees
Indirect attack,0,10,15,↖ North/West,1,0,89.27272727,139,2472.090909,2611.090909,28.63636364,6.181818182,3927.909091,2472.090909,30.90113636
Indirect attack,0,10,15,↖ North/West,1,1,83.45454545,153.5454545,2440.636364,2594.181818,30.45454545,7,3959.363636,2440.636364,30.50795455
Indirect attack,0,10,15,↖ North/West,2,0,106.3636364,152.2727273,2593.727273,2746,27.90909091,5.545454545,3806.272727,2593.727273,32.42159091
Indirect attack,0,10,15,↖ North/West,2,1,83.63636364,154.8181818,2322,2476.818182,26.45454545,7.727272727,4078,2322,29.025
Indirect attack,0,10,15,↖ North/West,6,0,101.7272727,146.5454545,2759.181818,2905.727273,30.81818182,6.272727273,3640.818182,2759.181818,34.48977273
Indirect attack,0,10,15,↖ North/West,6,1,86.81818182,156.3636364,2435.818182,2592.181818,28.18181818,6.454545455,3964.181818,2435.818182,30.44772727
Indirect attack,0,10,15,↗ North/East,1,0,97.63636364,153.1818182,2409.909091,2563.090909,28.36363636,6.181818182,3990.090909,2409.909091,30.12386364
Indirect attack,0,10,15,↗ North/East,1,1,94,158.4545455,2390.545455,2549,30.27272727,7.272727273,4009.454545,2390.545455,29.88181818
Indirect attack,0,10,15,↗ North/East,2,0,93.09090909,147.5454545,2448.090909,2595.636364,32.63636364,6.181818182,3951.909091,2448.090909,30.60113636
Indirect attack,0,10,15,↗ North/East,2,1,84.81818182,160.4545455,2397.363636,2557.818182,31.18181818,6.727272727,4002.636364,2397.363636,29.96704545
Indirect attack,0,10,15,↗ North/East,6,0,87.90909091,144.4545455,2472.636364,2617.090909,30.90909091,5.909090909,3927.363636,2472.636364,30.90795455
Indirect attack,0,10,15,↗ North/East,6,1,91.27272727,161.0909091,2342.909091,2504,30.63636364,7.545454545,4057.090909,2342.909091,29.28636364
Indirect attack,0,10,15,↘ South/East,1,0,87.18181818,142.3636364,2600,2742.363636,31.54545455,6.090909091,3800,2600,32.5
Indirect attack,0,10,15,↘ South/East,1,1,84.54545455,150.3636364,2531.363636,2681.727273,29.72727273,7.181818182,3868.636364,2531.363636,31.64204545
Indirect attack,0,10,15,↘ South/East,2,0,104.1818182,145.4545455,2837.818182,2983.272727,30.81818182,6.454545455,3562.181818,2837.818182,35.47272727
Indirect attack,0,10,15,↘ South/East,2,1,84.27272727,152.2727273,2372,2524.272727,26.72727273,7.636363636,4028,2372,29.65
Indirect attack,0,10,15,↘ South/East,6,0,91.36363636,143.1818182,2497.545455,2640.727273,27.36363636,6.454545455,3902.454545,2497.545455,31.21931818
Indirect attack,0,10,15,↘ South/East,6,1,90.81818182,157.4545455,2260.909091,2418.363636,25.90909091,7,4139.090909,2260.909091,28.26136364
Indirect attack,0,10,15,↙ South/West,1,0,97.09090909,135.2727273,2596.363636,2731.636364,25.45454545,6.363636364,3803.636364,2596.363636,32.45454545
Indirect attack,0,10,15,↙ South/West,1,1,109.2727273,160.0909091,2750.818182,2910.909091,33.36363636,7.454545455,3649.181818,2750.818182,34.38522727
Indirect attack,0,10,15,↙ South/West,2,0,91.81818182,143.5454545,2677.545455,2821.090909,27.45454545,6.090909091,3722.454545,2677.545455,33.46931818
Indirect attack,0,10,15,↙ South/West,2,1,91.54545455,161,2576,2737,32.54545455,7.545454545,3824,2576,32.2
Indirect attack,0,10,15,↙ South/West,6,0,86.45454545,141.6363636,2327.454545,2469.090909,27.45454545,6.363636364,4072.545455,2327.454545,29.09318182
Indirect attack,0,10,15,↙ South/West,6,1,94.54545455,153.5454545,2565.272727,2718.818182,31.63636364,6.090909091,3834.727273,2565.272727,32.06590909
Indirect attack,0,10,20,↖ North/West,1,0,85.45454545,145.0909091,2353.636364,2498.727273,25.45454545,6.454545455,4046.363636,2353.636364,29.42045455
Indirect attack,0,10,20,↖ North/West,1,1,86.18181818,162.7272727,2545.545455,2708.272727,32.18181818,7.727272727,3854.454545,2545.545455,31.81931818
Indirect attack,0,10,20,↖ North/West,2,0,92.90909091,145.3636364,2361.181818,2506.545455,25.90909091,6,4038.818182,2361.181818,29.51477273
Indirect attack,0,10,20,↖ North/West,2,1,92.54545455,160.1818182,2528.272727,2688.454545,29.81818182,7.909090909,3871.727273,2528.272727,31.60340909
Indirect attack,0,10,20,↖ North/West,6,0,100.8181818,142.2727273,2688.545455,2830.818182,29.81818182,6.363636364,3711.454545,2688.545455,33.60681818
Indirect attack,0,10,20,↖ North/West,6,1,87.45454545,163.7272727,2444,2607.727273,29.81818182,9,3956,2444,30.55
Indirect attack,0,10,20,↗ North/East,1,0,93.63636364,141.6363636,2655.545455,2797.181818,27.81818182,6.454545455,3744.454545,2655.545455,33.19431818
Indirect attack,0,10,20,↗ North/East,1,1,91.09090909,164.6363636,2585.818182,2750.454545,32.27272727,8.090909091,3814.181818,2585.818182,32.32272727
Indirect attack,0,10,20,↗ North/East,2,0,90.36363636,148.9090909,2375.363636,2524.272727,27.63636364,6.545454545,4024.636364,2375.363636,29.69204545
Indirect attack,0,10,20,↗ North/East,2,1,91.81818182,166.9090909,2487.909091,2654.818182,28.81818182,8.454545455,3912.090909,2487.909091,31.09886364
Indirect attack,0,10,20,↗ North/East,6,0,91.54545455,138.4545455,2731.363636,2869.818182,28.27272727,6.363636364,3668.636364,2731.363636,34.14204545
Indirect attack,0,10,20,↗ North/East,6,1,100,166.4545455,2491.545455,2658,29.18181818,8.272727273,3908.454545,2491.545455,31.14431818
Indirect attack,0,10,20,↘ South/East,1,0,103.5454545,147.1818182,2700.818182,2848,29.90909091,6,3699.181818,2700.818182,33.76022727
Indirect attack,0,10,20,↘ South/East,1,1,91.81818182,165.2727273,2598.090909,2763.363636,31.72727273,8.181818182,3801.909091,2598.090909,32.47613636
